label,total_count,train_count,valid_count
pos__accessibility,28,25,3
pos__audio,140,126,14
pos__bugs,78,70,8
pos__content,201,181,20
pos__controls,27,24,3
pos__difficulty_balance,25,22,3
pos__gameplay,628,565,63
pos__graphics,238,213,25
pos__localization,25,22,3
pos__monetization,82,74,8
pos__multiplayer,30,27,3
pos__network_server,1,1,0
pos__other,43,39,4
pos__performance,31,28,3
pos__replayability,54,49,5
pos__story,162,146,16
pos__ui_ux,26,23,3
pos__updates_support,45,40,5
pos__value,316,284,32
neg__accessibility,3,3,0
neg__audio,60,54,6
neg__bugs,161,145,16
neg__content,189,170,19
neg__controls,111,100,11
neg__difficulty_balance,155,139,16
neg__gameplay,119,107,12
neg__graphics,63,57,6
neg__localization,60,54,6
neg__monetization,42,38,4
neg__multiplayer,30,27,3
neg__network_server,43,39,4
neg__other,36,32,4
neg__performance,93,84,9
neg__replayability,23,21,2
neg__story,53,48,5
neg__ui_ux,118,106,12
neg__updates_support,32,29,3
neg__value,146,130,16
